TIMESTAMP;LAST HITBTC;AMOUNT HITBTC;LAST BINANCE;AMOUNT BINANCE;LAST BIBOX;AMOUNT BIBOX
2019-4-1 04:55:30;4126,65;0,11837000000000002;4125,40000000;0,19489100000000004;4128,2105;11,471709200000003
2019-4-1 04:55:30;4126,71;0,00515;4125,40000000;0;4134,2121;0,0195
2019-4-1 04:55:30;4126,71;0;4125,39000000;0,035267;4134,2121;0
2019-4-1 04:55:31;4126,71;0;4125,40000000;0,002714;4134,2121;0
2019-4-1 04:55:31;4126,71;0;4125,40000000;0,003974;4134,2121;0
2019-4-1 04:55:31;4126,71;0;4126,23000000;0,436586;4131,2113;0,7027
2019-4-1 04:55:32;4126,71;0;4126,23000000;0;4134,8937;0,0155
2019-4-1 04:55:32;4126,71;0;4126,24000000;0,029452;4134,8937;0
2019-4-1 04:55:32;4126,71;0;4126,24000000;0;4134,8937;0
2019-4-1 04:55:33;4126,71;0;4125,09000000;0,005143;4134,8937;0
2019-4-1 04:55:33;4126,98;0,06008000000000001;4126,99000000;0,032215;4134,094;0,93349464
2019-4-1 04:55:33;4127,52;0,29830999999999996;4126,99000000;0;4134,094;0
2019-4-1 04:55:34;4127,52;0;4126,99000000;0;4134,094;0
2019-4-1 04:55:34;4127,52;0;4126,99000000;0;4134,094;0
2019-4-1 04:55:34;4127,52;0;4126,99000000;0,025804;4134,094;0
2019-4-1 04:55:34;4127,52;0;4126,99000000;0;4134,094;0
2019-4-1 04:55:35;4127,52;0;4126,99000000;0;4131,5933;5,08898373
2019-4-1 04:55:35;4127,52;0;4127,00000000;0,490033;4131,5933;0
2019-4-1 04:55:35;4127,52;0;4127,00000000;0;4131,5933;0
2019-4-1 04:55:36;4127,52;0;4127,00000000;0,410026;4131,5933;0
2019-4-1 04:55:36;4127,52;0;4127,00000000;0;4131,5933;0
2019-4-1 04:55:36;4127,52;0;4127,00000000;0;4131,5933;0
2019-4-1 04:55:37;4127,52;0;4127,00000000;0;4131,5933;0
2019-4-1 04:55:37;4128,02;0,1;4127,00000000;0,07172500000000001;4131,5933;3,47975206
2019-4-1 04:55:37;4128,02;0,26688;4126,50000000;0,243291;4131,5933;0,4178
2019-4-1 04:55:37;4128,02;0;4127,00000000;0,032928;4131,5933;0
2019-4-1 04:55:38;4128,02;0;4127,00000000;0;4131,5933;0,0031
2019-4-1 04:55:38;4128,02;0;4127,00000000;0;4131,5933;0
2019-4-1 04:55:38;4128,02;0;4126,99000000;0,013883999999999999;4131,5933;0
2019-4-1 04:55:39;4128,02;0;4126,99000000;0,129589;4131,5933;0,016
2019-4-1 04:55:39;4128,54;0,05046;4125,25000000;0,002726;4131,5933;0
2019-4-1 04:55:39;4128,54;0;4127,00000000;0,044232;4131,5933;0
2019-4-1 04:55:40;4128,54;0;4127,00000000;0,003197;4131,5933;0
2019-4-1 04:55:40;4128,24;0,021;4127,00000000;0,112901;4131,5933;0,0192
2019-4-1 04:55:40;4128,24;0;4127,00000000;0,095715;4131,5933;0
2019-4-1 04:55:40;4128,24;0;4127,00000000;0,337217;4131,5933;0
2019-4-1 04:55:41;4128,24;0;4127,00000000;0,035298;4131,5933;7,22920316
2019-4-1 04:55:41;4128,24;0;4127,00000000;0;4131,5933;0
2019-4-1 04:55:41;4128,24;0;4127,00000000;0,103192;4131,5933;0
2019-4-1 04:55:42;4128,24;0;4127,00000000;0,005409;4131,5933;0
2019-4-1 04:55:42;4128,24;0;4127,00000000;0;4131,5933;0
2019-4-1 04:55:42;4128,24;0;4127,00000000;0;4131,5933;0
2019-4-1 04:55:43;4128,24;0;4127,00000000;0,131085;4131,5933;0
2019-4-1 04:55:43;4128,57;0,02717;4127,00000000;0,13197;4131,5933;0
2019-4-1 04:55:43;4128,60;0,001;4127,00000000;0;4131,5933;0
2019-4-1 04:55:44;4128,60;0;4127,00000000;0;4131,5933;0
2019-4-1 04:55:44;4128,60;0;4127,00000000;0,017688;4131,5933;0
2019-4-1 04:55:44;4128,60;0;4127,00000000;0,17598800000000003;4131,5933;0
2019-4-1 04:55:44;4128,60;0;4127,00000000;0,029488;4131,5933;0
2019-4-1 04:55:45;4128,60;0;4125,37000000;0,030877;4131,5933;0
2019-4-1 04:55:45;4128,60;0;4125,37000000;0;4131,5933;0
2019-4-1 04:55:45;4128,60;0;4125,37000000;0;4131,5933;0
2019-4-1 04:55:46;4128,60;0;4126,00000000;0,003747;4131,5933;0
2019-4-1 04:55:46;4128,48;0,001;4126,00000000;0,6673330000000001;4131,5933;0
2019-4-1 04:55:46;4128,48;0;4127,00000000;1,392353;4131,5933;2,99166852
2019-4-1 04:55:47;4128,48;0;4127,00000000;0,051993;4131,5933;0
2019-4-1 04:55:47;4128,48;0;4127,00000000;0;4131,5933;0
