07-04-2019 00:00:00:08;5026,70;0;5026,78000000;0,034735;5026,78;0
07-04-2019 00:00:00:38;5026,70;0;5026,78000000;0,069864;5026,9426;0,788
07-04-2019 00:00:00:68;5026,87;0,02;5026,78000000;0;5026,9426;0
07-04-2019 00:00:00:98;5026,87;0;5026,78000000;0;5026,45;1,7369
07-04-2019 00:00:01:28;5026,87;0;5026,78000000;0;5026,45;0
07-04-2019 00:00:01:58;5026,87;0;5026,78000000;0;5026,45;0
07-04-2019 00:00:01:88;5026,87;0;5026,76000000;0,071252;5026,45;0
07-04-2019 00:00:02:18;5026,87;0;5026,76000000;0,263973;5026,45;0
07-04-2019 00:00:02:48;5026,87;0;5026,17000000;0,002634;5027,2199;0,0003
07-04-2019 00:00:02:78;5026,87;0;5026,17000000;0;5027,2199;0
07-04-2019 00:00:03:08;5026,87;0;5026,17000000;0;5027,2199;0
07-04-2019 00:00:03:38;5026,87;0;5028,34000000;0,194;5027,2199;0
07-04-2019 00:00:03:68;5026,87;0;5028,34000000;0,009795;5026,9426;0,4116
07-04-2019 00:00:03:98;5026,87;0;5028,34000000;0;5026,9426;0
07-04-2019 00:00:04:28;5026,87;0;5028,34000000;0;5026,9426;0
07-04-2019 00:00:04:58;5026,87;0;5028,34000000;0;5026,9426;0
07-04-2019 00:00:04:88;5026,87;0;5028,34000000;0;5026,9426;0
07-04-2019 00:00:05:18;5026,87;0;5026,78000000;0,002392;5026,9426;0
07-04-2019 00:00:05:48;5026,87;0;5028,34000000;0,022393999999999997;5026,9426;0
07-04-2019 00:00:05:78;5026,87;0;5028,34000000;0,005008;5026,9426;0
07-04-2019 00:00:06:08;5026,87;0;5028,34000000;0,019134;5026,9426;0
07-04-2019 00:00:06:38;5026,87;0;5028,34000000;0;5026,9426;0
07-04-2019 00:00:06:68;5026,87;0;5028,34000000;0,219249;5026,9426;0
07-04-2019 00:00:06:98;5026,87;0;5028,34000000;0;5026,9426;0
07-04-2019 00:00:07:28;5026,87;0;5028,34000000;0,005967;5027,565;1,009
