TIMESTAMP;LAST HITBTC;AMOUNT HITBTC;LAST BINANCE;AMOUNT BINANCE;LAST BIBOX;AMOUNT BIBOX
06-04-2019 22:22:31:66;5017,57;0,21531;5016,62000000;1,8275900000000003;5017,585;1,6517
06-04-2019 22:22:31:96;5017,59;0,30000000000000004;5016,58000000;0,131811;5017,585;0
06-04-2019 22:22:32:26;5017,59;0;5016,58000000;0,020399;5017,585;0
06-04-2019 22:22:32:56;5017,59;0;5016,59000000;0,169133;5017,585;0
06-04-2019 22:22:32:86;5017,59;0;5016,59000000;0;5017,0925;0,46633314
06-04-2019 22:22:33:16;5017,59;0;5017,96000000;0,017788;5017,0925;0
06-04-2019 22:22:33:46;5017,59;0;5017,96000000;0;5017,0925;0
06-04-2019 22:22:33:76;5017,59;0;5017,96000000;0,8471180000000001;5017,0925;0
06-04-2019 22:22:34:06;5017,59;0;5017,96000000;0;5017,295;0,72407376
06-04-2019 22:22:34:36;5017,59;0;5017,96000000;0;5017,295;0
06-04-2019 22:22:34:66;5017,59;0;5016,60000000;0,026113;5017,295;0
06-04-2019 22:22:34:96;5017,59;0;5016,60000000;0;5017,295;0
06-04-2019 22:22:35:26;5017,59;0;5016,60000000;0;5017,295;0
06-04-2019 22:22:35:56;5017,59;0;5017,96000000;0,011878999999999999;5017,295;0
06-04-2019 22:22:35:87;5017,59;0;5017,96000000;0,16353;5017,295;0
06-04-2019 22:22:36:17;5018,40;0,1;5017,96000000;0;5017,295;0
06-04-2019 22:22:36:47;5018,40;0;5018,94000000;1,106486;5017,295;0
06-04-2019 22:22:36:77;5018,40;0;5020,36000000;1,613511;5017,295;1,06222941
06-04-2019 22:22:37:07;5018,40;0;5020,56000000;3,578558;5017,295;0
06-04-2019 22:22:37:37;5018,40;0;5020,56000000;0;5017,295;0
06-04-2019 22:22:37:67;5018,18;0,53032;5018,45000000;0,002199;5017,295;0
06-04-2019 22:22:37:97;5018,18;0;5018,45000000;0;5017,295;0
06-04-2019 22:22:38:27;5018,18;0;5018,45000000;0;5017,295;0
06-04-2019 22:22:38:57;5018,18;0;5018,45000000;0;5017,295;0
06-04-2019 22:22:38:87;5018,18;0;5018,51000000;0,007272;5017,295;0
06-04-2019 22:22:39:17;5018,18;0;5018,51000000;0;5016,97;1,43230884
06-04-2019 22:22:39:47;5018,18;0;5018,76000000;0,002154;5016,97;0
06-04-2019 22:22:39:77;5018,18;0;5018,76000000;0;5016,97;0
06-04-2019 22:22:40:07;5018,18;0;5018,76000000;0,055;5016,97;0
06-04-2019 22:22:40:37;5018,18;0;5018,78000000;0,005944;5016,97;0
06-04-2019 22:22:40:67;5018,18;0;5021,11000000;0,167384;5016,97;0
06-04-2019 22:22:40:98;5018,18;0;5021,11000000;0;5017,3;0,0268
06-04-2019 22:22:41:28;5018,18;0;5021,11000000;0;5017,3;0
06-04-2019 22:22:41:58;5018,18;0;5018,95000000;0,032215;5017,3;0
06-04-2019 22:22:41:88;5018,18;0;5019,53000000;0,582762;5017,3;0
06-04-2019 22:22:42:18;5018,18;0;5018,95000000;0,06493499999999999;5017,3;0
06-04-2019 22:22:42:48;5018,18;0;5019,06000000;0,041427;5017,3;0
06-04-2019 22:22:42:78;5018,18;0;5021,11000000;0,003974;5016,97;0,5686513799999999
06-04-2019 22:22:43:08;5018,18;0;5021,11000000;0;5016,97;0
06-04-2019 22:22:43:38;5018,18;0;5021,11000000;0;5016,97;0
06-04-2019 22:22:43:68;5018,18;0;5021,11000000;0,141913;5016,97;0
06-04-2019 22:22:43:98;5018,18;0;5023,49000000;0,019194;5016,97;0
06-04-2019 22:22:44:28;5018,18;0;5023,49000000;0;5016,97;0
06-04-2019 22:22:44:58;5018,18;0;5023,49000000;0;5016,97;0
06-04-2019 22:22:44:88;5018,18;0;5023,49000000;0;5017,3843;0,029277010000000003
06-04-2019 22:22:45:18;5018,18;0;5023,49000000;0,0098;5017,3843;0
06-04-2019 22:22:45:48;5018,18;0;5023,49000000;0,125;5017,3843;0
06-04-2019 22:22:45:78;5018,18;0;5023,49000000;0;5017,3843;0
06-04-2019 22:22:46:08;5019,91;1,47782;5023,49000000;0,0098;5017,3843;0
